k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,f1,f2,f3,f4,Phi11,Phi12,Phi13,Phi14,Phi21,Phi22,Phi23,Phi24,Phi31,Phi32,Phi33,Phi34,Phi41,Phi42,Phi43,Phi44
0.84733,1,1,1,1,1,1,1,1,1,51.815,142.81,279.42,460.65,-0.62163,0.33647,0.33611,-0.62241,-0.4935,0.50608,-0.50711,0.49314,-0.7106,0.035062,0.049936,-0.70095,0.30828,0.63517,-0.6332,-0.31715
0.97473,1,1,1,1,1,1,1,1,1,51.819,142.86,279.72,461.71,-0.62156,0.33646,0.33617,-0.62245,-0.49311,0.50646,-0.50703,0.49321,-0.70974,0.042134,0.04995,-0.70142,0.31216,0.63133,-0.63551,-0.31641
1.2006,1,1,1,1,1,1,1,1,1,51.826,142.92,280.12,463.09,-0.62148,0.33645,0.33623,-0.62251,-0.49283,0.50681,-0.50697,0.4932,-0.70982,0.049187,0.048388,-0.701,0.3169,0.62634,-0.63855,-0.31549
0.89633,1,1,1,1,1,1,1,1,1,51.817,142.83,279.54,461.09,-0.6216,0.33647,0.33614,-0.62243,-0.49332,0.50625,-0.50708,0.49317,-0.71032,0.037191,0.049317,-0.70116,0.30991,0.63358,-0.63415,-0.31684
0.92367,1,1,1,1,1,1,1,1,1,51.818,142.84,279.61,461.32,-0.62159,0.33647,0.33615,-0.62243,-0.49324,0.50633,-0.50706,0.49319,-0.70991,0.03904,0.049527,-0.70146,0.31074,0.63275,-0.63465,-0.31668
1.2775,1,1,1,1,1,1,1,1,1,51.827,142.94,280.23,463.46,-0.62145,0.33644,0.33625,-0.62252,-0.4928,0.50687,-0.50696,0.49318,-0.70998,0.051551,0.048365,-0.70067,0.31811,0.625,-0.63937,-0.31525
0.64885,1,1,1,1,1,1,1,1,1,51.804,142.69,278.73,458.24,-0.62178,0.33646,0.336,-0.62232,-0.49453,0.5052,-0.5072,0.49291,-0.70959,0.021621,0.050565,-0.70246,0.29893,0.64377,-0.62809,-0.31893
0.94636,1,1,1,1,1,1,1,1,1,51.818,142.85,279.66,461.5,-0.62158,0.33647,0.33616,-0.62244,-0.49318,0.50639,-0.50705,0.4932,-0.70971,0.040576,0.049788,-0.70156,0.31139,0.6321,-0.63504,-0.31655
1.1439,1,1,1,1,1,1,1,1,1,51.824,142.91,280.03,462.79,-0.6215,0.33645,0.33622,-0.62249,-0.49287,0.50675,-0.50697,0.49321,-0.71023,0.04678,0.048163,-0.70076,0.31589,0.62743,-0.63788,-0.31568
1.1802,1,1,1,1,1,1,1,1,1,51.825,142.92,280.09,462.98,-0.62148,0.33645,0.33623,-0.6225,-0.49285,0.50679,-0.50697,0.4932,-0.70992,0.048336,0.048293,-0.70096,0.31655,0.62672,-0.63831,-0.31556
