k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,f1,f2,f3,f4,f5,f6,f7,f8,f9,Phi11,Phi12,Phi13,Phi14,Phi21,Phi22,Phi23,Phi24,Phi31,Phi32,Phi33,Phi34,Phi41,Phi42,Phi43,Phi44,Phi51,Phi52,Phi53,Phi54,Phi61,Phi62,Phi63,Phi64,Phi71,Phi72,Phi73,Phi74,Phi81,Phi82,Phi83,Phi84,Phi91,Phi92,Phi93,Phi94
0.70452,1,1,1,1,1,1,1,1,1,51.859,278.98,459.04,611.05,681.83,912.8,946.23,1206.9,1263.6,0.54829,-0.29562,-0.29553,0.54781,-0.32182,0.02634,0.03446,-0.32301,0.20668,0.43742,-0.4261,-0.2156,-0.00095275,-0.0014049,0.0024511,0.0011378,0.089205,0.41303,0.43433,0.11197,0.0048922,0.01222,0.00050098,-0.0023522,-0.032312,-0.095149,0.011502,-0.014536,-0.0013103,-0.004221,-0.0022533,-0.00011636,0.12155,0.45072,0.47752,0.090922
0.69185,1,1,1,1,1,1,1,1,1,51.859,278.93,458.87,610.85,681.4,912.15,945.34,1205.5,1262.5,0.5483,-0.29562,-0.29552,0.54781,-0.32172,0.026028,0.034623,-0.32298,0.20615,0.43769,-0.42571,-0.21561,0.00098833,0.0013962,-0.0025305,-0.0011643,0.087848,0.41183,0.43455,0.11207,-0.0050031,-0.012387,-0.00051775,0.0023388,0.034713,0.097789,-0.009846,0.014861,-0.0011823,-0.0037844,-0.0019983,-9.476e-05,-0.12439,-0.45136,-0.47672,-0.090674
0.66568,1,1,1,1,1,1,1,1,1,51.858,278.83,458.49,610.41,680.47,910.73,943.41,1202.5,1260.1,0.54833,-0.29562,-0.29551,0.5478,-0.3215,0.025351,0.034976,-0.32292,0.20499,0.43829,-0.42485,-0.21565,0.0010689,0.0013761,-0.0027099,-0.0012241,0.084877,0.40921,0.43502,0.11229,-0.005266,-0.01278,-0.00056625,0.0023059,-0.039924,-0.10349,0.0062646,-0.015566,-0.00088269,-0.0028244,-0.0014336,-4.5433e-05,-0.13052,-0.45267,-0.47497,-0.090138
1.2194,1,1,1,1,1,1,1,1,1,51.871,280.16,463.18,615.48,692.13,926.49,968.35,1236,1292.4,0.54802,-0.29556,-0.29567,0.54794,0.3239,-0.033967,-0.030473,0.32367,-0.21852,-0.43024,0.43536,0.21516,0.00033871,0.0015104,-0.0010691,-0.00067459,-0.11996,-0.44042,-0.42844,-0.10943,-0.0036579,-0.010414,-0.00083394,0.002448,0.025193,-0.028781,0.052824,-0.0064505,-0.0020618,-0.011635,-0.0055028,-8.8491e-05,-0.04918,-0.42752,-0.49581,-0.097112
1.0258,1,1,1,1,1,1,1,1,1,51.868,279.84,462.07,614.36,689.38,923.15,962.34,1229,1284.3,-0.5481,0.29558,0.29563,-0.54791,0.3234,-0.031897,-0.031558,0.3235,0.21554,0.43226,-0.4329,-0.21528,0.00046215,0.0015003,-0.0013484,-0.00076769,0.11213,0.43337,0.43014,0.11013,-0.0037773,-0.010544,-0.00064403,0.0024515,-0.010039,0.046973,-0.041538,0.0086551,-0.0023013,-0.010439,-0.0053794,-0.00023456,0.068999,0.43527,0.49118,0.095423
0.74539,1,1,1,1,1,1,1,1,1,51.861,279.12,459.56,611.64,683.12,914.7,948.94,1210.9,1267,0.54826,-0.29561,-0.29554,0.54783,0.32211,-0.027281,-0.03397,0.3231,-0.20826,-0.43657,0.42727,0.21555,0.00085109,0.0014289,-0.0022236,-0.0010617,-0.093259,-0.41661,-0.43366,-0.11166,-0.0045941,-0.011769,-0.0004701,0.0023866,-0.025068,-0.087132,0.016524,-0.01355,0.0016544,0.0055057,0.002993,0.00017557,0.11287,0.44865,0.47992,0.091674
1.3244,1,1,1,1,1,1,1,1,1,51.872,280.3,463.66,615.95,693.32,927.85,970.94,1238.9,1295.9,0.54799,-0.29555,-0.29568,0.54796,-0.32409,0.034867,0.030001,-0.32375,0.21976,0.42935,-0.43641,-0.21511,0.00029345,0.0015119,-0.00096544,-0.00064075,-0.12322,-0.4434,-0.42767,-0.10912,-0.0036372,-0.010419,-0.00092877,0.0024449,0.0316,-0.020888,0.057719,-0.0054933,-0.0018816,-0.011953,-0.0053615,1.0492e-05,-0.040653,-0.42382,-0.49772,-0.097844
0.79716,1,1,1,1,1,1,1,1,1,51.862,279.29,460.14,612.3,684.58,916.78,952.03,1215.4,1270.9,0.54823,-0.2956,-0.29556,0.54785,0.32243,-0.028348,-0.033413,0.32319,0.21002,0.4356,-0.42859,-0.21549,-0.00074559,-0.0014522,0.0019867,0.00098236,-0.097779,-0.4206,-0.43288,-0.11131,-0.0043176,-0.011348,-0.00046737,0.0024153,0.016863,0.077952,-0.02226,0.012425,-0.0019614,-0.006879,-0.0037565,-0.00022825,0.10288,0.44604,0.48261,0.092534
1.3298,1,1,1,1,1,1,1,1,1,51.873,280.3,463.68,615.97,693.37,927.92,971.07,1239,1296,0.54799,-0.29555,-0.29568,0.54796,-0.3241,0.03491,0.029978,-0.32375,0.21982,0.42931,-0.43646,-0.2151,0.0002914,0.0015119,-0.0009607,-0.00063922,0.12337,0.44354,0.42764,0.1091,-0.0036366,-0.01042,-0.00093348,0.0024447,0.031905,-0.020509,0.057954,-0.0054472,-0.001872,-0.011965,-0.0053519,1.577e-05,0.040244,0.42363,0.49781,0.097879
1.0577,1,1,1,1,1,1,1,1,1,51.868,279.9,462.28,614.58,689.9,923.8,963.47,1230.4,1285.8,-0.54809,0.29557,0.29563,-0.54791,0.3235,-0.032284,-0.031355,0.32354,0.21611,0.43189,-0.43336,-0.21526,0.00043693,0.0015031,-0.0012915,-0.0007486,-0.11363,-0.43471,-0.42983,-0.11,0.0037462,0.010504,0.00067591,-0.0024517,-0.012909,0.043575,-0.043647,0.0082432,0.002278,0.010714,0.005451,0.0002161,0.065285,0.43391,0.49207,0.095739
