k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,f1,f2,f3,f4,f5,f6,f7,f8,f9,Phi11,Phi12,Phi13,Phi14,Phi15,Phi21,Phi22,Phi23,Phi24,Phi25,Phi31,Phi32,Phi33,Phi34,Phi35,Phi41,Phi42,Phi43,Phi44,Phi45,Phi51,Phi52,Phi53,Phi54,Phi55,Phi61,Phi62,Phi63,Phi64,Phi65,Phi71,Phi72,Phi73,Phi74,Phi75,Phi81,Phi82,Phi83,Phi84,Phi85,Phi91,Phi92,Phi93,Phi94,Phi95
0.92001,1,1,1,1,1,1,1,1,1,51.866,142.84,279.61,461.29,501.15,613.54,687.44,920.65,958.13,-0.54815,0.14034,0.43376,0.13488,-0.54788,-0.4338,0.45753,-0.00023948,-0.45495,0.43363,-0.32302,0.37036,-0.50709,0.37873,-0.32338,0.21335,0.0065328,-0.0024826,0.013708,-0.21537,-3.8667e-06,-1.953e-05,8.3195e-06,4.279e-05,1.0132e-05,0.00056608,0.00061249,0.00015079,-0.0028332,-0.00084648,-0.10641,-0.39086,0.50376,-0.36926,-0.11061,-0.003937,-0.020696,0.0060295,0.023457,0.0024457,0.00083654,-0.49267,-0.013274,0.49615,0.010197
0.58332,1,1,1,1,1,1,1,1,1,51.854,142.64,278.44,457.11,500.91,608.75,677.02,905.25,936.41,0.54841,-0.14051,-0.43365,-0.13478,0.54776,0.43422,-0.45743,0.0015035,0.45402,-0.43317,-0.32067,0.36382,-0.50471,0.37903,-0.32268,-0.20059,-0.02898,0.018668,-0.021847,0.21578,6.0141e-05,-1.9732e-05,1.1548e-05,6.9193e-05,-2.2446e-06,0.001406,-0.00064342,0.0014096,-0.0041522,-0.0014705,0.073746,0.41422,-0.49632,0.35096,0.11309,-0.0065073,-0.012634,0.0084935,0.013785,0.0021385,0.05891,-0.46402,-0.065699,0.49397,0.018114
0.72834,1,1,1,1,1,1,1,1,1,51.86,142.74,279.07,459.35,501.03,611.4,682.6,913.94,947.84,0.54828,-0.14042,-0.43371,-0.13483,0.54782,-0.43402,0.45748,-0.00083625,-0.45451,0.43342,-0.32199,0.36732,-0.50599,0.37888,-0.32306,-0.20763,-0.017005,0.010029,-0.017515,0.21557,2.1633e-05,-2.181e-05,1.0688e-05,5.6545e-05,4.2184e-06,-0.00089127,-0.00015636,-0.00062574,0.003367,0.0010919,-0.091624,-0.40223,0.50057,-0.3608,-0.11178,-0.0047084,-0.017649,0.0067461,0.019932,0.0023737,0.028002,-0.48041,-0.038229,0.49512,0.01395
0.79959,1,1,1,1,1,1,1,1,1,51.863,142.78,279.3,460.17,501.08,612.33,684.65,916.87,952.16,-0.54822,0.14039,0.43373,0.13485,-0.54785,-0.43393,0.4575,-0.00058594,-0.4547,0.43351,-0.32244,0.3686,-0.50646,0.37882,-0.3232,0.21009,0.012583,-0.0068417,0.015909,-0.21548,9.8119e-06,-2.1299e-05,9.8157e-06,5.118e-05,6.8523e-06,-0.00074116,-0.00037457,-0.00040261,0.0031244,0.00097902,-0.097977,-0.39752,0.50198,-0.3644,-0.11129,-0.0043068,-0.019098,0.0063647,0.021627,0.0024164,0.016501,-0.48585,-0.027777,0.49556,0.012375
1.0339,1,1,1,1,1,1,1,1,1,51.868,142.88,279.85,462.12,501.21,614.42,689.52,923.32,962.63,-0.5481,0.14031,0.43378,0.1349,-0.54791,-0.43369,0.45755,2.3943e-05,-0.45514,0.43372,0.32343,-0.37167,0.50756,-0.37866,0.32351,0.21569,0.0019926,0.00078776,0.01205,-0.21528,1.1866e-05,1.7538e-05,-7.1822e-06,-3.533e-05,-1.1838e-05,0.00045555,0.00074932,-6.3456e-07,-0.0026449,-0.00076269,0.11252,0.3857,-0.50499,0.37286,0.1101,-0.0037688,-0.021616,0.0058949,0.024495,0.0024516,-0.010781,-0.49728,-0.0022734,0.49658,0.0085489
1.0467,1,1,1,1,1,1,1,1,1,51.868,142.88,279.88,462.21,501.21,614.5,689.72,923.58,963.08,-0.54809,0.1403,0.43378,0.13491,-0.54791,-0.43368,0.45755,5.0478e-05,-0.45516,0.43373,-0.32346,0.3718,-0.5076,0.37866,-0.32352,-0.21592,-0.0015383,-0.001115,-0.011884,0.21527,-1.2541e-05,-1.7317e-05,7.0791e-06,3.4511e-05,1.1948e-05,-0.00044541,-0.00076122,1.4137e-05,0.0026275,0.00075501,-0.11312,-0.38517,0.5051,-0.37321,-0.11004,-0.0037563,-0.021696,0.0058862,0.024585,0.0024517,0.011933,0.49771,0.0011686,-0.49662,-0.0083835
0.90672,1,1,1,1,1,1,1,1,1,51.865,142.83,279.58,461.18,501.14,613.43,687.16,920.29,957.54,-0.54816,0.14035,0.43376,0.13488,-0.54788,-0.43381,0.45753,-0.00027386,-0.45493,0.43362,-0.32296,0.37018,-0.50703,0.37874,-0.32336,-0.21303,-0.0071292,0.0029122,-0.013925,0.21538,2.6608e-06,1.9755e-05,-8.4745e-06,-4.3686e-05,-9.8454e-06,-0.00058188,-0.00059197,-0.000173,0.0028598,0.00085847,-0.10559,-0.39153,0.50359,-0.36878,-0.11068,-0.0039655,-0.020558,0.006054,0.0233,0.002444,0.0023734,-0.49204,-0.014713,0.49609,0.010413
1.1365,1,1,1,1,1,1,1,1,1,51.87,142.91,280.03,462.75,501.25,615.05,691.06,925.21,966,-0.54805,0.14028,0.4338,0.13492,-0.54793,-0.43361,0.45756,0.00022265,-0.45528,0.4338,-0.32371,0.37266,-0.5079,0.37861,-0.32361,0.21738,-0.0013951,0.0032276,0.01081,-0.21521,-1.6271e-05,-1.5836e-05,6.5115e-06,2.8844e-05,1.2285e-05,-0.00038372,-0.00083077,9.456e-05,0.002521,0.00070843,0.11695,0.38176,-0.50584,0.37551,0.1097,-0.0036915,-0.022164,0.005848,0.02511,0.0024504,-0.019323,-0.50041,0.0059778,0.49688,0.0073134
1.0574,1,1,1,1,1,1,1,1,1,51.868,142.88,279.9,462.28,501.22,614.57,689.9,923.79,963.45,-0.54809,0.1403,0.43378,0.13491,-0.54791,-0.43367,0.45755,7.2302e-05,-0.45518,0.43374,0.3235,-0.37191,0.50764,-0.37865,0.32354,0.2161,0.0011651,0.0013837,0.011747,-0.21526,-1.3077e-05,-1.7133e-05,6.9968e-06,3.3828e-05,1.2028e-05,-0.00043719,-0.00077076,2.5014e-05,0.0026133,0.0007488,-0.11361,-0.38474,0.5052,-0.37351,-0.11,0.0037465,0.021761,-0.0058796,-0.024657,-0.0024517,-0.012879,-0.49807,-0.00026063,0.49665,0.0082475
1.1854,1,1,1,1,1,1,1,1,1,51.871,142.92,280.11,463.01,501.27,615.31,691.71,925.99,967.42,-0.54803,0.14027,0.4338,0.13493,-0.54794,-0.43357,0.45756,0.00030701,-0.45534,0.43383,0.32382,-0.37307,0.50805,-0.37859,0.32365,0.21807,-0.0028232,0.0042561,0.010286,-0.21518,-1.7655e-05,-1.5107e-05,6.3216e-06,2.5814e-05,1.2166e-05,-0.00035601,-0.00086036,0.00012967,0.0024729,0.00068757,0.11878,0.38008,-0.50618,0.37662,0.10954,-0.0036693,-0.022364,0.0058401,0.025334,0.0024491,0.022884,0.50165,-0.009463,-0.497,-0.0067915
